"id","Resort","lowest_and_highest_points_difference"
140,Verbier (4 Valle?es),2509
143,Nendaz (4 Valle?es),2509
145,Thyon (4 Valle?es),2509
146,Veysonnaz (4 Valle?es),2509
15,Zermatt - Matterhorn,2337
134,Cervinia,2337
49,Les Deux alpes,2280
68,Alpe d'Huez,2205
325,Schilthorn-Mu?rren-?Lauterbrunnen,2174
66,Courchevel (Les 3 Valle?es),2120
67,Saint Martin de Belleville (Les 3 Valle?es),2120
69,La Tania-Val Thorens/?Les Menuires/?Me?ribel (Les 3 Valle?es),2120
74,Val Thorens (Les 3 Valle?es),2120
149,Me?ribel (Les 3 Valle?es),2120
150,?Les Menuires (Les 3 Valle?es),2120
65,La Grave - La Meije,2064
18,Gressoney - La-Trinite (Monterosa Ski),2063
129,Champoluc (Monterosa Ski),2063
201,Parsenn (Davos Klosters),2034
71,Les Arcs /? Peisey-Vallandry (Paradiski),2026
78,Grands Montets-Argentie?re (Chamonix),2023
247,Titlis-Engelberg,2020
96,S_lden,1990
58,La Plagne (Paradiski),1960
161,Zillertal Arena-Zell am Ziller-?Gerlos-?Ko?nigsleiten-?Hochkrimml,1920
157,Laax-?Flims-?Falera,1918
57,Tignes - ?Val d'Ise?re,1906
294,Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-,1895
103,Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,1870
281,Belalp-Blatten,1796
331,Bormio-Cima Bianca,1787
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,1782
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,1778
128,Saas-Fee,1773
279,Hintertux Glacier,1750
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,1734
119,Silvretta Montafon,1730
306,Revelstoke Mountain Resort,1713
126,Cortina d'Ampezzo,1700
390,Alpika Service,1693
307,Lauchernalp-Lo?tschental,1692
308,Grossglockner Heiligenblut,1688
45,Glacier 3000 / Les Diablerets,1673
139,Arosa Lenzerheide,1636
