"resort","recommended_for_beginner_prc","recommended_for_expert_prc"
Hemsedal,90.70,32.56
Geilosiden Geilo,88.24,47.06
Golm,96.15,50.00
Red Mountain Resort-Rossland,58.33,83.33
Hafjell,90.91,25.00
Voss,72.50,37.50
Porter,50.00,50.00
Nevados de Chilla?n,71.43,71.43
Hochschwarzeck,100.00,0.00
Rossfeld - Berchtesgaden - Oberau,100.00,12.50
Fernie,70.42,70.42
Sun Peaks,67.91,90.30
Panorama,75.00,80.00
Brauneck Lenggries ?Wegscheid,88.24,76.47
Zermatt - Matterhorn,91.61,76.71
Treble Cone,59.09,81.82
Val Gardena,89.71,70.29
Gressoney - La-Trinite (Monterosa Ski),88.64,82.58
Les Gets (Les Portes du Soleil),89.66,46.55
Espace San Bernardo _ La Rosi_re/?La Thuile,86.25,65.63
The Lecht,77.78,72.22
Steamboat,72.73,84.85
Howelsen Hill-Steamboat Springs,100.00,50.00
Les Contamines-?Hauteluce,83.33,66.67
Crested Butte,79.34,77.69
Jackson Hole,56.90,86.21
Park City,71.60,89.20
Nevis Range,85.00,65.00
Arapahoe Basin,61.90,61.90
The Remarkables,70.00,70.00
Valchiavenna _ Madesimo/?Campodolcino,89.13,71.74
La Thuile / La Rosi_re - Espace San Bernardo,86.25,65.63
Livigno _ Carosello/?Mottolino,82.61,73.91
Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,85.33,60.00
Wagrain (Ski amed_),96.52,73.91
Kaunertal Glacier (Kaunertaler Gletscher),90.00,30.00
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),93.33,48.15
Sestriere ski resort (Via Lattea),79.00,76.00
Reither Kogel-Reith im Alpbachtal,100.00,75.00
Kicking Horse - Golden,40.00,80.00
Grandvalira _ Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,84.29,52.38
Rinerhorn (Davos Klosters),80.00,75.00
Madrisa (Davos Klosters),62.50,75.00
Jakobshorn (Davos Klosters),95.00,37.50
Glacier 3000 / Les Diablerets,50.00,62.50
Big White,71.84,82.52
Obergurgl-Hochgurgl,81.82,68.18
Coronet Peak,60.00,80.00
Les Deux alpes,83.00,45.00
Valle Nevado,46.15,89.74
Ben Lomond,83.33,66.67
Portillo,70.00,50.00
Catedral Alta Patagonia,75.00,75.00
Whistler,75.00,80.00
Stubai Glacier,89.47,50.00
Fonna Glacier,100.00,50.00
Tignes - ?Val d'Ise?re,82.67,43.33
La Plagne (Paradiski),88.00,38.22
Les Orres,90.00,70.00
Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,94.27,31.25
Avoriaz (Les Portes du Soleil),89.66,46.55
Cha?tel (Les Portes du Soleil),89.66,46.55
Le Lys - Cauterets,91.67,41.67
Pont d'Espagne - Cauterets,100.00,25.00
La Grave - La Meije,100.00,0.00
Courchevel (Les 3 Valle?es),88.00,48.00
Saint Martin de Belleville (Les 3 Valle?es),88.00,48.00
Alpe d'Huez,80.00,72.00
La Tania-Val Thorens/?Les Menuires/?Me?ribel (Les 3 Valle?es),88.00,48.00
Sainte-Foy-Tarentaise,85.37,75.61
Les Arcs /? Peisey-Vallandry (Paradiski),87.00,48.00
